,Car Coord X,Car Coord Y
198,369.6125,-75.71666666666667
199,370.3625,-74.15
200,371.1,-72.56666666666666
201,371.85,-70.98333333333335
202,372.58750000000003,-69.38333333333334
203,373.32500000000005,-67.78333333333335
204,374.0625,-66.18333333333334
205,374.8125,-64.55
206,375.55,-62.91666666666667
207,376.2875,-61.25
208,377.02500000000003,-59.60000000000001
209,377.75,-57.900000000000006
210,378.46250000000003,-56.233333333333334
211,379.175,-54.53333333333334
212,379.88750000000005,-52.83333333333334
213,380.57500000000005,-51.11666666666667
214,381.25,-49.43333333333334
215,381.9125,-47.766666666666666
216,382.55,-46.1
217,383.1875,-44.45
218,383.8,-42.833333333333336
219,384.40000000000003,-41.21666666666667
220,384.9875,-39.583333333333336
221,385.55,-38.01666666666667
222,386.1,-36.46666666666667
223,386.63750000000005,-34.91666666666667
224,387.1625,-33.400000000000006
225,387.6625,-31.900000000000006
226,388.1625,-30.41666666666667
227,388.63750000000005,-28.96666666666667
228,389.1,-27.53333333333333
229,389.55,-26.133333333333333
230,389.975,-24.766666666666673
231,390.38750000000005,-23.400000000000002
232,390.7875,-22.06666666666667
233,391.1875,-20.76666666666667
234,391.55,-19.46666666666667
235,391.90000000000003,-18.200000000000003
236,392.2375,-16.916666666666668
237,392.5625,-15.650000000000002
238,392.8625,-14.383333333333336
239,393.13750000000005,-13.133333333333336
240,393.40000000000003,-11.900000000000002
241,393.625,-10.666666666666668
242,393.85,-9.45
243,394.0625,-8.216666666666665
244,394.27500000000003,-7.0
245,394.475,-5.783333333333335
246,394.6625,-4.583333333333334
247,394.82500000000005,-3.366666666666667
248,394.975,-2.166666666666668
249,395.125,-0.9666666666666668
250,395.25,0.25
251,395.375,1.4499999999999993
252,395.4875,2.6499999999999995
253,395.57500000000005,3.8499999999999996
254,395.6625,5.05
255,395.725,6.266666666666667
256,395.76250000000005,7.45
257,395.8,8.666666666666666
258,395.82500000000005,9.866666666666667
259,395.83750000000003,11.066666666666666
260,395.83750000000003,12.266666666666666
261,395.83750000000003,13.466666666666667
262,395.82500000000005,14.666666666666668
263,395.82500000000005,15.850000000000001
264,395.8125,17.05
265,395.7875,18.233333333333334
266,395.77500000000003,19.416666666666668
267,395.75,20.6
268,395.725,21.783333333333335
269,395.70000000000005,22.96666666666667
270,395.6625,24.150000000000002
271,395.625,25.35
272,395.57500000000005,26.55
273,395.51250000000005,27.766666666666666
274,395.4375,29.0
275,395.3625,30.25
276,395.27500000000003,31.5
277,395.1875,32.78333333333333
278,395.08750000000003,34.06666666666667
279,394.975,35.38333333333333
280,394.8625,36.7
281,394.7375,38.016666666666666
282,394.6,39.366666666666674
283,394.46250000000003,40.71666666666667
284,394.32500000000005,42.06666666666667
285,394.1875,43.43333333333333
286,394.05,44.800000000000004
287,393.9125,46.18333333333333
288,393.77500000000003,47.56666666666667
289,393.65000000000003,48.95
290,393.52500000000003,50.35
291,393.40000000000003,51.733333333333334
292,393.27500000000003,53.116666666666674
293,393.1625,54.51666666666667
294,393.05,55.91666666666667
295,392.925,57.300000000000004
296,392.8125,58.7
297,392.70000000000005,60.11666666666667
298,392.4375,63.28333333333334
299,392.4375,63.28333333333334
300,392.3625,64.38333333333334
301,392.25,65.76666666666667
302,392.13750000000005,67.15
303,392.0375,68.53333333333333
304,391.9375,69.9
305,391.83750000000003,71.25
306,391.7375,72.56666666666666
307,391.63750000000005,73.86666666666666
308,391.5375,75.13333333333334
309,391.45000000000005,76.38333333333334
310,391.35,77.58333333333334
311,391.26250000000005,78.76666666666667
312,391.175,79.91666666666667
313,391.08750000000003,81.05
314,391.0,82.13333333333334
315,390.9125,83.2
316,390.82500000000005,84.25
317,390.7375,85.25
318,390.65000000000003,86.23333333333335
319,390.5625,87.18333333333334
320,390.475,88.11666666666667
321,390.38750000000005,89.01666666666667
322,390.3,89.88333333333334
323,390.21250000000003,90.73333333333335
324,390.125,91.55000000000001
325,390.0375,92.36666666666667
326,389.9375,93.16666666666667
327,389.85,93.96666666666667
328,389.76250000000005,94.76666666666667
329,389.675,95.56666666666666
330,389.58750000000003,96.36666666666667
331,389.4875,97.16666666666667
332,389.40000000000003,97.96666666666667
333,389.3125,98.76666666666667
334,389.225,99.56666666666666
335,389.125,100.38333333333334
336,389.0375,101.18333333333334
337,388.95000000000005,101.98333333333335
338,388.8625,102.78333333333335
339,388.76250000000005,103.58333333333334
340,388.675,104.38333333333334
341,388.58750000000003,105.2
342,388.4875,106.0
343,388.38750000000005,106.80000000000001
344,388.3,107.60000000000001
345,388.20000000000005,108.41666666666667
346,388.1,109.21666666666667
347,388.01250000000005,110.01666666666667
348,387.9125,110.83333333333333
349,387.8125,111.63333333333333
350,387.725,112.43333333333334
351,387.625,113.25
352,387.52500000000003,114.05000000000001
353,387.425,114.85000000000001
354,387.32500000000005,115.63333333333333
355,387.225,116.4
356,387.13750000000005,117.16666666666669
357,387.0375,117.91666666666669
358,386.95000000000005,118.65
359,386.85,119.38333333333333
360,386.75,120.11666666666667
361,386.6625,120.81666666666668
362,386.5625,121.51666666666668
363,386.475,122.21666666666668
364,386.375,122.88333333333333
365,386.27500000000003,123.56666666666668
366,386.175,124.21666666666668
367,386.08750000000003,124.86666666666667
368,385.9875,125.5
369,385.88750000000005,126.13333333333333
370,385.8,126.75
371,385.70000000000005,127.36666666666667
372,385.58750000000003,127.98333333333333
373,385.4875,128.60000000000002
